Locus	sgRNA	Beta	zscore	pvalue	FDR	wald_pvalue	wald_fdr	Cas_variant	FACS_protein	sgRNA_group
rs11373935	1	0.29523	0.61982	0.06859	0.88415	0.53538	0.90281	VP64	NO	CAD_loci
rs71135385	1	0.0052555	0.077507	0.95837	0.99952	0.93822	0.98892	VP64	NO	CAD_loci
rs1887318	1	0.19955	0.68872	0.1632	0.9533	0.491	0.88577	VP64	NO	CAD_loci
rs11646677	1	0.10268	1.1591	0.39877	0.99952	0.24642	0.75172	VP64	NO	CAD_loci
rs55807206	1	0.21706	1.619	0.13765	0.95223	0.10544	0.60497	VP64	NO	CAD_loci
rs35409574	1	-0.017142	-0.16007	0.87465	0.99952	0.87283	0.9882	VP64	NO	CAD_loci
rs72348706	2	-0.10889	-0.96953	0.18827	0.96411	0.33228	0.83601	VP64	NO	CAD_loci
rs216220	1	0.14914	1.0979	0.25213	0.9777	0.27224	0.7741	VP64	NO	CAD_loci
rs7497304	1	0.0043737	0.063188	0.96216	0.99952	0.94962	0.98892	VP64	NO	CAD_loci
rs2241717	2	0.15126	0.93076	0.13623	0.95223	0.35198	0.8446	VP64	NO	CAD_loci
rs8065650	1	0.19145	1.407	0.1755	0.96124	0.15943	0.65648	VP64	NO	CAD_loci
rs7218029	1	0.23939	1.2064	0.10785	0.89764	0.22765	0.7365	VP64	NO	CAD_loci
rs73077107	1	0.067272	0.61021	0.56197	0.99952	0.54172	0.90281	VP64	NO	CAD_loci
rs7224250	1	-0.03828	-0.40337	0.7157	0.99952	0.68667	0.95691	VP64	NO	CAD_loci
rs8050059	2	0.0735	1.0836	0.41816	0.99952	0.27855	0.77731	VP64	NO	CAD_loci
rs897457	1	0.076579	0.82539	0.51372	0.99952	0.40915	0.86494	VP64	NO	CAD_loci
Ess_GECKO_RPL7	4	-0.040046	-0.78444	0.48675	0.99952	0.43278	0.86709	VP64	NO	essential_genes
rs8056236	1	-0.098855	-0.82292	0.36187	0.99952	0.41055	0.86507	VP64	NO	CAD_loci
rs61791540	1	-0.29753	-1.2559	0.026963	0.7093	0.20916	0.71906	VP64	NO	CAD_loci
16:75464085	1	0.25177	1.9195	0.091769	0.88845	0.054919	0.5611	VP64	NO	CAD_loci
rs55839933	1	-0.13198	-1.4154	0.24361	0.9777	0.15695	0.65542	VP64	NO	CAD_loci
rs72664303	1	0.016193	0.47451	0.88221	0.99952	0.63513	0.94124	VP64	NO	CAD_loci
rs2269918	1	-0.19085	-2.1843	0.10265	0.88845	0.028941	0.49022	VP64	NO	CAD_loci
3:153856031	1	0.072119	0.48081	0.53027	0.99952	0.63065	0.93968	VP64	NO	CAD_loci
rs61791468	1	-0.13629	-1.7067	0.22469	0.9777	0.087881	0.5844	VP64	NO	CAD_loci
rs71134704	1	0.033025	0.42558	0.77389	0.99952	0.67041	0.95035	VP64	NO	CAD_loci
rs9913522	1	-0.15288	-0.81338	0.17597	0.96124	0.416	0.86671	VP64	NO	CAD_loci
rs1992442	1	-0.020884	-0.113	0.84532	0.99952	0.91003	0.98892	VP64	NO	CAD_loci
rs62233094	1	0.061795	0.58014	0.5965	0.99952	0.56182	0.90567	VP64	NO	CAD_loci
rs1612933	2	0.0037398	0.032686	0.95601	0.99952	0.97393	0.99193	VP64	NO	CAD_loci
rs357499	1	-0.0467	-0.93282	0.65847	0.99952	0.35091	0.8446	VP64	NO	CAD_loci
rs10743355	1	0.053117	0.34845	0.65279	0.99952	0.7275	0.96404	VP64	NO	CAD_loci
rs62265615	1	-0.16417	-1.7832	0.15232	0.9533	0.074561	0.5844	VP64	NO	CAD_loci
rs11204892	1	0.089937	0.69498	0.44134	0.99952	0.48707	0.88577	VP64	NO	CAD_loci
rs1169314	1	-0.099791	-1.6155	0.35856	0.99952	0.10621	0.60519	VP64	NO	CAD_loci
rs11862095	1	-0.15234	-0.75864	0.17692	0.96164	0.44807	0.86857	VP64	NO	CAD_loci
rs62233983	1	-0.05103	-0.14654	0.62867	0.99952	0.88349	0.9882	VP64	NO	CAD_loci
rs450115	1	0.11181	1.0011	0.36897	0.99952	0.31679	0.82185	VP64	NO	CAD_loci
rs8041389	1	-0.10511	-0.55365	0.33396	0.99164	0.57982	0.91464	VP64	NO	CAD_loci
Ess_GECKO_RPS15A	1	-0.0062937	-0.068294	0.9508	0.99952	0.94555	0.98892	VP64	NO	essential_genes
rs61791545	1	-0.17717	-1.5755	0.12725	0.95223	0.11513	0.61031	VP64	NO	CAD_loci
rs1515099	1	-0.0043573	-0.051685	0.96736	0.99952	0.95878	0.98892	VP64	NO	CAD_loci
rs35415181	1	-0.074119	-0.43548	0.49338	0.99952	0.66321	0.94799	VP64	NO	CAD_loci
rs4320561	1	-0.072408	-0.18361	0.50095	0.99952	0.85432	0.98598	VP64	NO	CAD_loci
rs12361893	1	-0.14435	-0.69937	0.19773	0.97209	0.48432	0.88577	VP64	NO	CAD_loci
rs5839149	1	-0.18317	-0.94634	0.11589	0.93156	0.34397	0.84034	VP64	NO	CAD_loci
rs7199062	1	0.49144	1.2785	0.0099338	0.69048	0.20109	0.71505	VP64	NO	CAD_loci
rs2052074	5	0.014833	0.41567	0.68117	0.98905	0.67765	0.96214	VP64	ROS	CAD_loci
rs35739466	5	0.0057895	0.18414	0.84532	0.99602	0.85391	0.98791	VP64	ROS	CAD_loci
rs357476	2	-0.046781	-0.79336	0.46783	0.95096	0.42757	0.91764	VP64	ROS	CAD_loci
rs2296285	3	0.0014672	0.024254	0.94276	0.99602	0.98065	0.99651	VP64	ROS	CAD_loci
rs216204	3	-0.11689	-1.5968	0.039262	0.82178	0.11031	0.85089	VP64	ROS	CAD_loci
rs3753292	5	-0.041852	-1.2809	0.34295	0.92025	0.20025	0.85456	VP64	ROS	CAD_loci
rs6503321	1	-0.0026166	-0.029716	0.99574	0.99953	0.97629	0.99651	VP64	ROS	CAD_loci
rs11057840	5	0.0023494	0.11938	0.89924	0.99602	0.90498	0.98942	VP64	ROS	CAD_loci
rs2681472	4	0.015271	0.35608	0.69205	0.98905	0.72178	0.97489	VP64	ROS	CAD_loci
rs10832014	3	0.00090781	0.032337	0.94986	0.99605	0.9742	0.99651	VP64	ROS	CAD_loci
rs71962021	5	-0.056621	-0.97014	0.20151	0.92025	0.33198	0.88741	VP64	ROS	CAD_loci
rs2644135	5	0.069933	2.2627	0.093661	0.92025	0.023657	0.79908	VP64	ROS	CAD_loci
rs2410625	5	0.00077	0.016783	0.92999	0.99602	0.98661	0.99651	VP64	ROS	CAD_loci
rs2819346	5	-0.078642	-1.1582	0.086093	0.92025	0.24677	0.87777	VP64	ROS	CAD_loci
rs2072141	5	-0.022555	-0.65208	0.61258	0.9794	0.51435	0.93656	VP64	ROS	CAD_loci
rs2458993	3	-0.035335	-0.62607	0.51892	0.9607	0.53127	0.94252	VP64	ROS	CAD_loci
rs894211	5	0.016933	0.59398	0.64948	0.98777	0.55252	0.94252	VP64	ROS	CAD_loci
rs35952313	2	-0.0080616	-0.15832	0.9404	0.99602	0.8742	0.98839	VP64	ROS	CAD_loci
rs62233132	5	-0.022168	-0.46165	0.61873	0.9794	0.64433	0.96133	VP64	ROS	CAD_loci
rs7934154	3	0.079601	1.6805	0.12914	0.92025	0.092851	0.85089	VP64	ROS	CAD_loci
rs201616013	1	-0.11348	-1.9637	0.21287	0.92025	0.049563	0.79908	VP64	ROS	CAD_loci
rs17115100	5	-0.052526	-2.2099	0.23794	0.92025	0.027115	0.79908	VP64	ROS	CAD_loci
rs10743118	3	-0.089465	-1.7391	0.10691	0.92025	0.082025	0.85089	VP64	ROS	CAD_loci
rs62233071	4	0.027475	0.56858	0.5071	0.95859	0.56964	0.94348	VP64	ROS	CAD_loci
rs11057408	3	-0.0081149	-0.20042	0.91296	0.99602	0.84115	0.98791	VP64	ROS	CAD_loci
rs5760293	3	0.010114	0.20266	0.81031	0.99602	0.8394	0.98791	VP64	ROS	CAD_loci
rs7416415	4	0.026203	0.66557	0.52696	0.96239	0.50569	0.93656	VP64	ROS	CAD_loci
rs9907229	4	0.015227	0.42566	0.693	0.98905	0.67036	0.96201	VP64	ROS	CAD_loci
rs4638157	3	0.01764	0.30902	0.69063	0.98905	0.75731	0.98157	VP64	ROS	CAD_loci
rs2689330	1	0.042156	0.55223	0.57852	0.97764	0.58079	0.94486	VP64	ROS	CAD_loci
rs17411133	3	-0.0016654	-0.03466	0.98817	0.99762	0.97235	0.99651	VP64	ROS	CAD_loci
rs61882122	5	0.011557	0.44321	0.7351	0.99107	0.65761	0.96171	VP64	ROS	CAD_loci
rs2678204	5	0.052393	1.9708	0.19962	0.92025	0.048748	0.79908	VP64	ROS	CAD_loci
rs1441753	5	0.0071601	0.26942	0.81457	0.99602	0.78761	0.98157	VP64	ROS	CAD_loci
rs3766039	5	-0.067187	-1.5602	0.1315	0.92025	0.11872	0.85089	VP64	ROS	CAD_loci
rs357497	4	-0.0341	-0.8673	0.49054	0.95859	0.38578	0.91048	VP64	ROS	CAD_loci
rs374982520	5	0.017294	0.46998	0.64049	0.98473	0.63837	0.96133	VP64	ROS	CAD_loci
rs3822921	5	0.0077694	0.18148	0.80605	0.99602	0.85599	0.98791	VP64	ROS	CAD_loci
rs10935972	5	0.013838	0.33653	0.69915	0.98905	0.73647	0.97489	VP64	ROS	CAD_loci
rs2203452	1	-0.10144	-0.84117	0.26443	0.92025	0.40025	0.91353	VP64	ROS	CAD_loci
rs454837	1	-0.10195	-1.4604	0.26112	0.92025	0.14418	0.85356	VP64	ROS	CAD_loci
rs2571461	5	-0.016558	-0.52915	0.72611	0.98905	0.5967	0.94636	VP64	ROS	CAD_loci
rs12413046	3	0.011744	0.32515	0.78524	0.99602	0.74507	0.97649	VP64	ROS	CAD_loci
rs4888404	5	0.040153	1.3586	0.32025	0.92025	0.17428	0.85356	VP64	ROS	CAD_loci
rs2383207	5	0.036374	1.0655	0.3666	0.92943	0.28666	0.88008	VP64	ROS	CAD_loci
rs62233098	2	-0.045159	-0.64673	0.48723	0.95859	0.5178	0.93656	VP64	ROS	CAD_loci
rs72743477	5	-0.080821	-0.5524	0.080416	0.92021	0.58067	0.94486	VP64	ROS	CAD_loci
rs1002135	2	0.036973	0.77596	0.50568	0.95859	0.43777	0.92572	VP64	ROS	CAD_loci
Ess_SAM_RPL10A	8	0.035769	0.94833	0.25118	0.92025	0.34296	0.88741	VP64	ROS	essential_genes
rs11057400	5	0.080391	1.3691	0.059603	0.92021	0.17098	0.85356	VP64	ROS	CAD_loci
prom_SELE	5	0.0036703	0.11788	0.87985	0.99602	0.90616	0.98942	VP64	ROS	known_genes
prom_PECAM1	5	0.030722	0.73786	0.43188	0.94575	0.4606	0.92981	VP64	ROS	known_genes
rs12298484	5	-0.036238	-0.77574	0.40681	0.93939	0.4379	0.92572	VP64	ROS	CAD_loci
rs55754634	5	0.03426	0.75564	0.38647	0.93939	0.44987	0.92981	VP64	ROS	CAD_loci
rs1010630	5	0.015446	0.43539	0.67313	0.98905	0.66328	0.96171	VP64	ROS	CAD_loci
rs4888416	5	-0.0011324	-0.042733	0.97446	0.99713	0.96591	0.99651	VP64	ROS	CAD_loci
rs111288206	5	0.038571	0.81033	0.33964	0.92025	0.41775	0.91353	VP64	ROS	CAD_loci
rs7527499	4	-0.076649	-1.9156	0.10785	0.92025	0.055413	0.80236	VP64	ROS	CAD_loci
rs7204984	5	-0.00025428	-0.01024	0.95364	0.99605	0.99183	0.99698	VP64	ROS	CAD_loci
rs2673135	5	-0.048196	-1.6908	0.28335	0.92025	0.090869	0.85089	VP64	ROS	CAD_loci
rs79789232	3	0.018821	0.56329	0.67029	0.98905	0.57323	0.94348	VP64	ROS	CAD_loci
rs71778313	5	-0.034771	-1.2054	0.42384	0.94316	0.22804	0.86819	VP64	ROS	CAD_loci
rs1429141	5	-0.028218	-0.90154	0.51466	0.95859	0.3673	0.89978	VP64	ROS	CAD_loci
rs13134800	5	0.036875	1.1503	0.35951	0.92918	0.25002	0.87777	VP64	ROS	CAD_loci
rs2138157	5	0.036499	0.96038	0.36518	0.92943	0.33686	0.88741	VP64	ROS	CAD_loci
rs9469932	2	0.048735	0.93382	0.40255	0.93939	0.35039	0.89353	VP64	ROS	CAD_loci
rs3918226	5	-0.059846	-1.6586	0.18307	0.92025	0.097192	0.85089	VP64	ROS	CAD_loci
rs6689306	5	0.0019615	0.041328	0.90587	0.99602	0.96703	0.99651	VP64	ROS	CAD_loci
Pos_SAM_ICAM1	5	-0.0018086	-0.048617	0.98439	0.99713	0.96122	0.99651	VP64	ROS	known_genes
rs7859362	1	0.010491	0.23489	0.87417	0.99602	0.8143	0.98612	VP64	ROS	CAD_loci
rs7133378	5	-0.018963	-0.53729	0.67975	0.98905	0.59107	0.94636	VP64	ROS	CAD_loci
rs781658	4	-0.018679	-0.49737	0.71949	0.98905	0.61893	0.95242	VP64	ROS	CAD_loci
rs11065987	5	0.052048	1.5573	0.20151	0.92025	0.11939	0.85089	VP64	ROS	CAD_loci
rs4930722	4	-0.0070332	-0.24367	0.92857	0.99602	0.80749	0.98396	VP64	ROS	CAD_loci
rs11864102	4	-0.038425	-0.51671	0.43094	0.94575	0.60536	0.94708	VP64	ROS	CAD_loci
rs2069945	5	-0.049531	-1.6734	0.26963	0.92025	0.09424	0.85089	VP64	ROS	CAD_loci
rs4638613	5	-0.0090127	-0.26436	0.87039	0.99602	0.7915	0.98157	VP64	ROS	CAD_loci
rs10485012	5	0.026534	0.70113	0.49149	0.95859	0.48322	0.93656	VP64	ROS	CAD_loci
rs11022743	5	0.0032264	0.11319	0.88647	0.99602	0.90988	0.98942	VP64	ROS	CAD_loci
rs12541912	4	0.052373	1.5806	0.24976	0.92025	0.11398	0.85089	VP64	ROS	CAD_loci
Pos_SAM_CAV1	18	0.069033	2.8605	0.00094607	0.33333	0.0042299	0.52269	VP64	ROS	known_genes
rs148213919	5	0.050013	1.4815	0.22138	0.92025	0.13848	0.85144	VP64	ROS	CAD_loci
rs2391825	5	-0.001531	-0.040963	0.98108	0.99713	0.96733	0.99651	VP64	ROS	CAD_loci
rs57265257	1	-0.14961	-1.2358	0.11542	0.92025	0.21654	0.8621	VP64	ROS	CAD_loci
rs1364078	4	0.097397	2.5618	0.046831	0.88393	0.010412	0.65048	VP64	ROS	CAD_loci
Ess_SAM_KPNB1	11	0.0023055	0.094114	0.89026	0.99602	0.92502	0.98942	VP64	ROS	essential_genes
rs9911155	4	-0.039807	-0.99396	0.41438	0.94004	0.32024	0.88741	VP64	ROS	CAD_loci
Ess_SAM_ARCN1	6	-0.022382	-0.65797	0.58798	0.9794	0.51056	0.93656	VP64	ROS	essential_genes
rs7757005	5	0.030122	0.76702	0.43661	0.94575	0.44307	0.92981	VP64	ROS	CAD_loci
rs1358403	5	-0.01706	-0.36024	0.71618	0.98905	0.71867	0.97489	VP64	ROS	CAD_loci
rs62233145	5	-0.011004	-0.33877	0.82829	0.99602	0.73478	0.97489	VP64	ROS	CAD_loci
rs12219901	5	0.043922	1.0009	0.27625	0.92025	0.31687	0.88741	VP64	ROS	CAD_loci
rs12217501	5	0.026152	0.72023	0.49527	0.95859	0.47138	0.93165	VP64	ROS	CAD_loci
rs57677983	5	0.061634	1.3814	0.13671	0.92025	0.16717	0.85356	VP64	ROS	CAD_loci
rs2713551	4	0.010669	0.17944	0.76159	0.99567	0.8576	0.98791	VP64	ROS	CAD_loci
rs76791229	5	0.039756	0.98713	0.32592	0.92025	0.32358	0.88741	VP64	ROS	CAD_loci
rs17023141	5	0.0070258	0.21364	0.81835	0.99602	0.83083	0.98791	VP64	ROS	CAD_loci
rs1441755	4	-0.14175	-1.9346	0.0052034	0.5	0.05304	0.79908	VP64	ROS	CAD_loci
rs1169300	5	0.027432	0.8491	0.48108	0.95859	0.39582	0.91353	VP64	ROS	CAD_loci
rs8048527	3	0.05863	1.2531	0.23983	0.92025	0.21017	0.85594	VP64	ROS	CAD_loci
rs6704	5	0.028718	0.88855	0.46121	0.95058	0.37424	0.90657	VP64	ROS	CAD_loci
rs11072807	5	-0.0087153	-0.35737	0.87654	0.99602	0.72081	0.97489	VP64	ROS	CAD_loci
rs2673140	5	-0.044574	-1.331	0.31788	0.92025	0.1832	0.85356	VP64	ROS	CAD_loci
Pos_SAM_ITPR2	7	0.0064983	0.091332	0.81599	0.99602	0.92723	0.98959	VP64	ROS	known_genes
rs12493885	5	-0.10839	-1.9506	0.022706	0.78261	0.051105	0.79908	VP64	ROS	CAD_loci
rs2279284	5	-0.060078	-1.1934	0.18023	0.92025	0.2327	0.87414	VP64	ROS	CAD_loci
rs7165081	5	0.0013894	0.062321	0.91675	0.99602	0.95031	0.9965	VP64	ROS	CAD_loci
rs11865004	5	-0.0079168	-0.31427	0.89451	0.99602	0.75332	0.98157	VP64	ROS	CAD_loci
rs17081933	4	-0.008223	-0.23086	0.9106	0.99602	0.81742	0.98791	VP64	ROS	CAD_loci
rs62233113	4	-0.011576	-0.23932	0.8439	0.99602	0.81085	0.98514	VP64	ROS	CAD_loci
rs1109341	5	0.01434	0.27198	0.68969	0.98905	0.78564	0.98157	VP64	ROS	CAD_loci
rs2972143	5	0.001636	0.070608	0.91343	0.99602	0.94371	0.99547	VP64	ROS	CAD_loci
rs139695218	5	0.018835	0.60128	0.61589	0.9794	0.54766	0.94252	VP64	ROS	CAD_loci
rs604021	5	-0.007307	-0.19417	0.90397	0.99602	0.84604	0.98791	VP64	ROS	CAD_loci
rs55741019	5	-0.0057076	-0.13768	0.93614	0.99602	0.8905	0.98942	VP64	ROS	CAD_loci
rs35552264	5	0.052623	1.5336	0.19773	0.92025	0.12512	0.85089	VP64	ROS	CAD_loci
rs732998	5	0.040268	0.9408	0.3193	0.92025	0.34681	0.88891	VP64	ROS	CAD_loci
rs11617955	5	-0.018317	-0.55893	0.693	0.98905	0.57621	0.94486	VP64	ROS	CAD_loci
rs10766066	5	0.0047307	0.14978	0.86235	0.99602	0.88094	0.98839	VP64	ROS	CAD_loci
rs76490849	5	-0.020659	-0.78756	0.64759	0.98702	0.43095	0.92004	VP64	ROS	CAD_loci
rs11191580	3	0.017174	0.65622	0.69678	0.98905	0.51168	0.93656	VP64	ROS	CAD_loci
rs2713553	5	-0.016139	-0.46467	0.73415	0.99043	0.64217	0.96133	VP64	ROS	CAD_loci
rs12411886	5	-0.027005	-0.70148	0.53926	0.96613	0.483	0.93656	VP64	ROS	CAD_loci
rs11908683	5	-0.045908	-0.98722	0.30464	0.92025	0.32353	0.88741	VP64	ROS	CAD_loci
rs2943640	5	0.027352	0.79891	0.48202	0.95859	0.42435	0.91725	VP64	ROS	CAD_loci
rs17282064	4	-0.032752	-0.5895	0.51466	0.95859	0.55552	0.94252	VP64	ROS	CAD_loci
rs847888	3	0.028824	0.34483	0.52602	0.96239	0.73023	0.97489	VP64	ROS	CAD_loci
rs6227	5	0.0016195	0.035427	0.91343	0.99602	0.97174	0.99651	VP64	ROS	CAD_loci
rs12311848	4	0.14979	2.7526	0.0070956	0.53571	0.0059128	0.59431	VP64	ROS	CAD_loci
rs17092297	5	0.010507	0.33508	0.75307	0.99502	0.73756	0.97489	VP64	ROS	CAD_loci
rs6694817	5	-0.064624	-1.2121	0.14522	0.92025	0.22547	0.86398	VP64	ROS	CAD_loci
rs62011002	5	-0.0069356	-0.18262	0.91343	0.99602	0.8551	0.98791	VP64	ROS	CAD_loci
rs56256623	5	0.0002379	0.0099995	0.9456	0.99602	0.99202	0.99698	VP64	ROS	CAD_loci
rs12714145	5	0.041059	1.3312	0.307	0.92025	0.18314	0.85356	VP64	ROS	CAD_loci
rs201810558	5	0.014057	0.28223	0.69489	0.98905	0.77777	0.98157	VP64	ROS	CAD_loci
rs373711095	5	0.022137	0.54457	0.56102	0.97133	0.58605	0.94636	VP64	ROS	CAD_loci
rs79197732	5	0.026513	0.97036	0.49149	0.95859	0.33187	0.88741	VP64	ROS	CAD_loci
rs2161967	5	-0.014561	-0.17309	0.76159	0.99567	0.86258	0.98791	VP64	ROS	CAD_loci
rs2250644	5	-0.024588	-0.52771	0.579	0.97764	0.5977	0.94636	VP64	ROS	CAD_loci
rs201656471	5	0.050345	0.63685	0.21807	0.92025	0.52422	0.93678	VP64	ROS	CAD_loci
rs6567160	5	-0.094077	-1.1339	0.043046	0.85047	0.25682	0.87777	VP64	ROS	CAD_loci
rs959376	5	0.11235	2.0774	0.012772	0.70732	0.037762	0.79908	VP64	ROS	CAD_loci
rs6499560	5	0.03782	0.87156	0.3439	0.92025	0.38345	0.91048	VP64	ROS	CAD_loci
rs11191560	3	0.0028164	0.057005	0.92289	0.99602	0.95454	0.99651	VP64	ROS	CAD_loci
rs28524880	3	0.052294	1.0067	0.29044	0.92025	0.31408	0.88741	VP64	ROS	CAD_loci
rs75046797	2	0.0044445	0.061274	0.89924	0.99602	0.95114	0.99651	VP64	ROS	CAD_loci
rs3770098	5	0.010111	0.18689	0.76112	0.99567	0.85175	0.98791	VP64	ROS	CAD_loci
rs920588	5	0.028916	0.6818	0.45837	0.95058	0.49536	0.93656	VP64	ROS	CAD_loci
rs62233975	1	-0.012549	-0.13204	0.90066	0.99602	0.89495	0.98942	VP64	ROS	CAD_loci
rs2122365	3	-0.012047	-0.25542	0.85572	0.99602	0.7984	0.98157	VP64	ROS	CAD_loci
rs4993970	5	0.077344	2.9863	0.066698	0.92021	0.0028241	0.52028	VP64	ROS	CAD_loci
rs1250258	5	0.050305	1.613	0.21807	0.92025	0.10675	0.85089	VP64	ROS	CAD_loci
rs1058588	5	-0.062325	-1.5175	0.16178	0.92025	0.12913	0.85089	VP64	ROS	CAD_loci
Pos_SAM_SELP	7	0.034398	1.1544	0.30227	0.92025	0.24832	0.87777	VP64	ROS	known_genes
rs1481892	5	0.022455	0.34285	0.55676	0.97133	0.73171	0.97489	VP64	ROS	CAD_loci
rs73015013	5	0.028103	0.77591	0.46973	0.95115	0.4378	0.92572	VP64	ROS	CAD_loci
rs2071410	5	-0.020672	-0.56568	0.64759	0.98702	0.57161	0.94348	VP64	ROS	CAD_loci
rs1727884	5	-0.046353	-1.1188	0.30085	0.92025	0.26323	0.88008	VP64	ROS	CAD_loci
rs4765219	5	0.019	0.47447	0.61353	0.9794	0.63517	0.95842	VP64	ROS	CAD_loci
rs4993969	2	-0.017973	-0.20532	0.80889	0.99602	0.83733	0.98791	VP64	ROS	CAD_loci
rs6659705	5	-0.0060792	-0.16392	0.93094	0.99602	0.86979	0.98791	VP64	ROS	CAD_loci
rs3748626	5	-0.056091	-0.85565	0.20672	0.92025	0.39219	0.91048	VP64	ROS	CAD_loci
rs1384025	5	0.02868	0.62318	0.46121	0.95058	0.53316	0.94252	VP64	ROS	CAD_loci
rs2040969	5	0.017659	0.59196	0.63482	0.98174	0.55388	0.94252	VP64	ROS	CAD_loci
rs11721947	1	-0.09541	-1.5051	0.28619	0.92025	0.13229	0.85089	VP64	ROS	CAD_loci
rs436852	5	0.013053	0.29868	0.71429	0.98905	0.76518	0.98157	VP64	ROS	CAD_loci
rs3186071	5	0.0074436	0.10522	0.81126	0.99602	0.9162	0.98942	VP64	ROS	CAD_loci
rs1332328	5	-0.094607	-2.6812	0.041627	0.83962	0.0073368	0.64625	VP64	ROS	CAD_loci
rs62233990	5	-0.0051009	-0.12027	0.94797	0.99602	0.90427	0.98942	VP64	ROS	CAD_loci
rs2083636	5	-0.01615	-0.52279	0.73368	0.99043	0.60112	0.94636	VP64	ROS	CAD_loci
rs35541991	5	0.076665	1.3863	0.068117	0.92021	0.16565	0.85356	VP64	ROS	CAD_loci
rs398090189	5	0.044652	1.5306	0.26868	0.92025	0.12586	0.85089	VP64	ROS	CAD_loci
rs16986953	5	-0.005239	-0.1425	0.94276	0.99602	0.88668	0.98839	VP64	ROS	CAD_loci
rs4468572	5	-0.05641	-2.6137	0.20435	0.92025	0.0089557	0.64747	VP64	ROS	CAD_loci
rs2644119	5	-0.067516	-1.9495	0.12867	0.92025	0.051237	0.79908	VP64	ROS	CAD_loci
rs7307053	5	-0.014251	-0.29835	0.77058	0.99602	0.76544	0.98157	VP64	ROS	CAD_loci
rs2246941	5	-0.060195	-0.84611	0.17928	0.92025	0.39749	0.91353	VP64	ROS	CAD_loci
rs10935970	2	0.067638	1.1325	0.26159	0.92025	0.25742	0.87777	VP64	ROS	CAD_loci
rs62233976	1	-0.05857	-0.76311	0.49953	0.95859	0.4454	0.92981	VP64	ROS	CAD_loci
rs11022749	3	-0.015878	-0.31755	0.78193	0.99602	0.75082	0.98038	VP64	ROS	CAD_loci
rs28645698	4	0.01405	0.29463	0.70861	0.98905	0.76828	0.98157	VP64	ROS	CAD_loci
rs615896	5	0.082198	1.0775	0.056764	0.92021	0.28127	0.88008	VP64	ROS	CAD_loci
rs72689147	5	0.02988	1.1835	0.44182	0.94919	0.23661	0.87414	VP64	ROS	CAD_loci
rs17465982	5	0.015113	0.49518	0.67644	0.98905	0.62048	0.95257	VP64	ROS	CAD_loci
rs75287019	5	0.013524	0.36769	0.70577	0.98905	0.7131	0.97489	VP64	ROS	CAD_loci
rs67745769	5	-0.0019038	-0.041216	0.98534	0.99713	0.96712	0.99651	VP64	ROS	CAD_loci
rs12940014	5	0.029816	0.94708	0.44324	0.9503	0.3436	0.88798	VP64	ROS	CAD_loci
rs58405066	5	0.055026	1.3554	0.18117	0.92025	0.1753	0.85356	VP64	ROS	CAD_loci
rs62233995	5	-0.010128	-0.2189	0.84626	0.99602	0.82673	0.98791	VP64	ROS	CAD_loci
rs12917651	5	-0.050242	-1.4203	0.26206	0.92025	0.15553	0.85356	VP64	ROS	CAD_loci
rs9903588	4	-0.052248	-0.76497	0.27578	0.92025	0.44429	0.92981	VP64	ROS	CAD_loci
rs4948592	3	0.010395	0.12588	0.807	0.99602	0.89983	0.98942	VP64	ROS	CAD_loci
Ess_GECKO_KPNB1	6	0.076061	1.856	0.045885	0.87387	0.063453	0.80776	VP64	ROS	essential_genes
rs6503998	1	-0.014692	-0.12727	0.87417	0.99602	0.89873	0.98942	VP64	ROS	CAD_loci
rs17878846	5	-0.049773	-1.6199	0.26821	0.92025	0.10525	0.85089	VP64	ROS	CAD_loci
rs986720	5	-0.031894	-1.0119	0.45979	0.95058	0.3116	0.88741	VP64	ROS	CAD_loci
rs10714389	5	0.032474	0.70676	0.4087	0.93939	0.47972	0.93381	VP64	ROS	CAD_loci
rs1713813	4	0.076961	1.6623	0.10218	0.92025	0.09645	0.85089	VP64	ROS	CAD_loci
rs3755014	4	0.057297	1.589	0.21429	0.92025	0.11207	0.85089	VP64	ROS	CAD_loci
rs1250239	5	0.01896	0.46827	0.61447	0.9794	0.63959	0.96133	VP64	ROS	CAD_loci
rs491205	5	0.016229	0.53845	0.66225	0.98905	0.59027	0.94636	VP64	ROS	CAD_loci
rs8066372	2	0.022373	0.49223	0.66509	0.98905	0.62256	0.95438	VP64	ROS	CAD_loci
rs62233991	5	-0.0011664	-0.025186	0.97446	0.99713	0.97991	0.99651	VP64	ROS	CAD_loci
rs77112003	5	0.032702	0.79071	0.40681	0.93939	0.42911	0.92003	VP64	ROS	CAD_loci
rs57292191	5	-0.011645	-0.24415	0.81504	0.99602	0.80712	0.98396	VP64	ROS	CAD_loci
rs28461509	3	0.049217	0.64366	0.31552	0.92025	0.51979	0.93656	VP64	ROS	CAD_loci
1:56964310	1	0.025723	1.1897	0.72611	0.98905	0.23416	0.87414	VP64	ROS	CAD_loci
rs1412445	5	0.067777	1.5196	0.10691	0.92025	0.12861	0.85089	VP64	ROS	CAD_loci
rs10156003	4	-0.0077976	-0.2036	0.91864	0.99602	0.83866	0.98791	VP64	ROS	CAD_loci
rs11265612	1	0.053835	1.3999	0.48108	0.95859	0.16153	0.85356	VP64	ROS	CAD_loci
